date,value,item
1980-01-01,0.699,"Chicken, fresh, whole, per lb. (453.6 gm)"
1981-01-01,0.749,"Chicken, fresh, whole, per lb. (453.6 gm)"
1982-01-01,0.712,"Chicken, fresh, whole, per lb. (453.6 gm)"
1983-01-01,0.689,"Chicken, fresh, whole, per lb. (453.6 gm)"
1984-01-01,0.839,"Chicken, fresh, whole, per lb. (453.6 gm)"
1985-01-01,0.773,"Chicken, fresh, whole, per lb. (453.6 gm)"
1986-01-01,0.766,"Chicken, fresh, whole, per lb. (453.6 gm)"
1987-01-01,0.821,"Chicken, fresh, whole, per lb. (453.6 gm)"
1988-01-01,0.74,"Chicken, fresh, whole, per lb. (453.6 gm)"
1989-01-01,0.905,"Chicken, fresh, whole, per lb. (453.6 gm)"
1990-01-01,0.882,"Chicken, fresh, whole, per lb. (453.6 gm)"
1991-01-01,0.886,"Chicken, fresh, whole, per lb. (453.6 gm)"
1992-01-01,0.878,"Chicken, fresh, whole, per lb. (453.6 gm)"
1993-01-01,0.875,"Chicken, fresh, whole, per lb. (453.6 gm)"
1994-01-01,0.899,"Chicken, fresh, whole, per lb. (453.6 gm)"
1995-01-01,0.897,"Chicken, fresh, whole, per lb. (453.6 gm)"
1996-01-01,0.941,"Chicken, fresh, whole, per lb. (453.6 gm)"
1997-01-01,1.016,"Chicken, fresh, whole, per lb. (453.6 gm)"
1998-01-01,1.022,"Chicken, fresh, whole, per lb. (453.6 gm)"
1999-01-01,1.072,"Chicken, fresh, whole, per lb. (453.6 gm)"
2000-01-01,1.059,"Chicken, fresh, whole, per lb. (453.6 gm)"
2001-01-01,1.091,"Chicken, fresh, whole, per lb. (453.6 gm)"
2002-01-01,1.091,"Chicken, fresh, whole, per lb. (453.6 gm)"
2003-01-01,1.004,"Chicken, fresh, whole, per lb. (453.6 gm)"
2004-01-01,1.062,"Chicken, fresh, whole, per lb. (453.6 gm)"
2005-01-01,1.026,"Chicken, fresh, whole, per lb. (453.6 gm)"
